School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
DISCOVERY HIGH SCHOOL,GEORGIA,Discovery High School,Gwinnett County,30046,1-Regular school,2-No,33.955305,-84.034354,High,9th Grade,12th Grade,2730,1815,515,295,2110,†,2730,†,†,1395,1335,4,216,1544,789,122,3,52,2730,15.60
DJJ CHATHAM MULTI SERVICE CENTER,GEORGIA,DJJ Chatham Multi Service Center,Chatham County,31406,2-Special education school,2-No,32.010759,-81.097299,High,6th Grade,12th Grade,0,†,†,†,†,0,0,†,†,0,0,0,0,0,0,0,0,0,0,0.00
DODGE COUNTY ELEMENTARY SCHOOL,GEORGIA,Dodge County Elementary School,Dodge County,30123,1-Regular school,2-No,32.210021,-83.212133,Elementary,3rd Grade,5th Grade,549,489,265,0,489,549,†,†,†,293,256,3,2,31,186,292,0,35,549,11.58
DODGE COUNTY HIGH SCHOOL,Georgia,Dodge County High School,Dodge County,31023,1-Regular school,2-No,32.205286,-83.194465,High,9th Grade,12th Grade,820,498,268,0,498,†,820,†,†,398,422,1,6,53,274,460,0,26,820,15.24
DODGE COUNTY MIDDLE SCHOOL,Georgia,Dodge County Middle School,Dodge County,31023,1-Regular school,2-No,32.205120,-83.187955,Middle,6th Grade,8th Grade,590,452,259,0,452,590,†,†,†,304,286,0,2,24,216,325,0,23,590,11.92
DODGE COUNTY PRIMARY SCHOOL,GEORGIA,Dodge County Primary School,Dodge County,31023,1-Regular school,2-No,32.170785,-83.160034,Elementary,Prekindergarten,2nd Grade,694,648,310,0,648,391,†,106,197,364,330,1,4,36,242,362,2,47,694,12.76
DODGEN MIDDLE SCHOOL,Georgia,Dodgen Middle School,Cobb County,30062,1-Regular school,2-No,33.991100,-84.445000,Middle,6th Grade,8th Grade,1238,114,22,23,137,1238,†,†,†,617,621,2,317,108,71,690,3,47,1238,16.94
DOERUN ELEMENTARY SCHOOL,Georgia,Doerun Elementary School,Colquitt County,31744,1-Regular school,2-No,31.327491,-83.917310,Elementary,Prekindergarten,5th Grade,258,258,115,0,258,197,†,22,39,125,133,1,2,54,62,119,0,20,258,11.07
DOLVIN ELEMENTARY SCHOOL,Georgia,Dolvin Elementary School,Fulton County,30022,1-Regular school,2-No,34.036300,-84.232700,Elementary,Prekindergarten,5th Grade,693,116,35,17,133,576,†,24,93,332,361,4,209,72,53,303,0,52,693,15.64
DOOLY COUNTY ELEMENTARY SCHOOL,Georgia,Dooly County Elementary School,Dooly County,31070,1-Regular school,2-No,32.184800,-83.766500,Elementary,Prekindergarten,5th Grade,511,511,227,0,511,382,†,66,63,254,257,1,3,114,332,44,0,17,511,15.77
DOOLY COUNTY HIGH SCHOOL,Georgia,Dooly County High School,Dooly County,31092,1-Regular school,2-No,32.103759,-83.799753,High,9th Grade,12th Grade,347,286,154,0,286,†,347,†,†,179,168,0,0,93,226,23,0,5,347,13.88
DOOLY COUNTY MIDDLE SCHOOL,Georgia,Dooly County Middle School,Dooly County,31070,1-Regular school,2-No,32.184800,-83.766500,Middle,6th Grade,8th Grade,249,249,143,0,249,249,†,†,†,125,124,0,1,55,169,19,0,5,249,14.23
DOOLY COUNTY PREP ACADEMY,GEORGIA,Dooly County Prep Academy,Dooly County,31092,1-Regular school,2-No,32.093044,-83.783882,High,5th Grade,12th Grade,6,‡,‡,‡,‡,1,5,†,†,4,2,0,0,1,5,0,0,0,6,15.00
DORAVILLE UNITED ELEMENTARY SCHOOL,GEORGIA,Doraville United Elementary School,DeKalb County,30340,1-Regular school,2-No,33.895990,-84.286431,Elementary,Prekindergarten,5th Grade,931,876,292,15,891,706,†,73,152,471,460,5,18,870,24,5,1,8,931,14.32
DOROTHY HAINS ELEMENTARY SCHOOL,Georgia,Dorothy Hains Elementary School,Richmond County,30906,1-Regular school,2-No,33.411600,-82.014000,Elementary,Prekindergarten,5th Grade,426,426,213,0,426,327,†,42,57,212,214,0,0,29,339,31,3,24,426,14.11
DOROTHY HEIGHT ELEMENTARY SCHOOL,GEORGIA,Dorothy Height Elementary School,Muscogee County,31903,1-Regular school,2-No,32.424893,-84.943962,Elementary,Prekindergarten,5th Grade,432,432,283,0,432,318,†,39,75,206,226,0,2,34,360,6,0,30,432,11.84
DORSETT SHOALS ELEMENTARY SCHOOL,Georgia,Dorsett Shoals Elementary School,Douglas County,30135,1-Regular school,2-No,33.683300,-84.766100,Elementary,Prekindergarten,5th Grade,394,288,131,30,318,335,†,0,59,197,197,4,3,108,152,106,0,21,394,13.36
DOUBLE CHURCHES ELEMENTARY SCHOOL,Georgia,Double Churches Elementary School,Muscogee County,31904,1-Regular school,2-No,32.557276,-84.975233,Elementary,Prekindergarten,5th Grade,461,230,77,36,266,331,†,71,59,254,207,0,15,46,150,200,0,50,461,16.18
DOUBLE CHURCHES MIDDLE SCHOOL,Georgia,Double Churches Middle School,Muscogee County,31904,1-Regular school,2-No,32.558700,-84.974400,Middle,6th Grade,8th Grade,442,390,221,0,390,442,†,†,†,205,237,4,5,31,268,100,0,34,442,13.19
DOUGHERTY COMPREHENSIVE HIGH SCHOOL,Georgia,Dougherty Comprehensive High School,Dougherty County,31705,1-Regular school,2-No,31.566900,-84.101100,High,9th Grade,12th Grade,1186,1186,536,0,1186,†,1186,†,†,584,602,4,1,74,1071,22,0,14,1186,16.03
DOUGLAS COUNTY HIGH SCHOOL,Georgia,Douglas County High School,Douglas County,30134,1-Regular school,2-No,33.743100,-84.743500,High,9th Grade,12th Grade,1907,1207,567,179,1386,†,1907,†,†,979,928,1,34,340,1329,119,1,83,1907,16.97
DOVE CREEK ELEMENTARY SCHOOL,GEORGIA,Dove Creek Elementary School,Oconee County,30666,1-Regular school,2-No,33.918543,-83.607795,Elementary,Prekindergarten,5th Grade,578,67,10,19,86,482,†,9,87,302,276,0,28,17,14,498,0,21,578,12.70
DOVE CREEK MIDDLE SCHOOL,GEORGIA,Dove Creek Middle School,Oconee County,30666,1-Regular school,2-No,33.916505,-83.605971,Middle,6th Grade,8th Grade,487,58,11,11,69,487,†,†,†,248,239,0,21,30,18,397,0,21,487,15.08
DOWELL ELEMENTARY SCHOOL,Georgia,Dowell Elementary School,Cobb County,30064,1-Regular school,2-No,33.902500,-84.633600,Elementary,Prekindergarten,5th Grade,880,543,205,88,631,733,†,19,128,455,425,2,30,358,314,125,1,50,880,11.64
DOWNTOWN ELEMENTARY MAGNET ACADEMY,Georgia,Downtown Elementary Magnet Academy,Muscogee County,31901,1-Regular school,2-No,32.473400,-84.991300,Elementary,Prekindergarten,5th Grade,347,347,147,0,347,207,†,90,50,174,173,1,1,37,261,21,0,26,347,13.35
DR. GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,Georgia,Dr. George Washington Carver Elementary School,Bryan County,31324,1-Regular school,2-No,31.937200,-81.312400,Elementary,4th Grade,5th Grade,679,218,70,88,306,679,†,†,†,347,332,0,40,90,121,361,1,66,679,13.91
DRESDEN ELEMENTARY SCHOOL,Georgia,Dresden Elementary School,DeKalb County,30341,1-Regular school,2-No,33.869300,-84.292100,Elementary,Prekindergarten,5th Grade,555,417,177,0,417,430,†,37,88,281,274,6,14,517,11,5,2,0,555,12.33
DRUID HILLS HIGH SCHOOL,Georgia,Druid Hills High School,DeKalb County,30307,1-Regular school,2-No,33.793300,-84.315700,High,9th Grade,12th Grade,1430,592,213,74,666,†,1430,†,†,733,697,7,130,228,560,444,6,55,1430,15.54
DRUID HILLS MIDDLE SCHOOL,Georgia,Druid Hills Middle School,DeKalb County,30033,1-Regular school,2-No,33.819300,-84.273000,Middle,6th Grade,8th Grade,929,486,235,58,544,929,†,†,†,500,429,5,81,156,406,221,2,58,929,12.90
DUBLIN HIGH SCHOOL,Georgia,Dublin High School,Laurens County,31021,1-Regular school,2-No,32.545976,-82.945233,High,9th Grade,12th Grade,589,448,206,0,448,†,589,†,†,320,269,1,1,17,518,40,0,12,589,9.45
DUBLIN MIDDLE SCHOOL,Georgia,Dublin Middle School,Laurens County,31021,1-Regular school,2-No,32.569100,-82.922000,Middle,5th Grade,8th Grade,639,607,290,0,607,639,†,†,†,299,340,3,6,15,543,55,0,17,639,15.21
DUBOIS INTEGRITY ACADEMY,GEORGIA,Dubois Integrity Academy,Clayton County,30274,1-Regular school,1-Yes,33.578028,-84.417153,Elementary,Kindergarten,8th Grade,1408,1408,525,0,1408,1242,†,†,166,658,750,2,9,57,1296,4,1,39,1408,17.49
DUE WEST ELEMENTARY SCHOOL,Georgia,Due West Elementary School,Cobb County,30064,1-Regular school,2-No,33.970100,-84.667300,Elementary,Prekindergarten,5th Grade,648,107,27,21,128,545,†,9,94,332,316,2,40,64,76,396,0,70,648,14.06
DUG GAP ELEMENTARY SCHOOL,Georgia,Dug Gap Elementary School,Whitfield County,30720,1-Regular school,2-No,34.733400,-85.000600,Elementary,Prekindergarten,5th Grade,354,264,63,34,298,263,†,40,51,191,163,0,3,237,3,102,0,9,354,11.64
DULUTH HIGH SCHOOL,Georgia,Duluth High School,Gwinnett County,30096,1-Regular school,2-No,34.010000,-84.143800,High,9th Grade,12th Grade,2666,1490,403,268,1758,†,2666,†,†,1392,1274,7,311,1287,635,311,4,111,2666,16.43
DULUTH MIDDLE SCHOOL,Georgia,Duluth Middle School,Gwinnett County,30096,1-Regular school,2-No,33.987000,-84.158400,Middle,6th Grade,8th Grade,1280,901,265,110,1011,1280,†,†,†,642,638,0,146,694,291,100,2,47,1280,12.52
DUNAIRE ELEMENTARY SCHOOL,Georgia,Dunaire Elementary School,DeKalb County,30083,1-Regular school,2-No,33.779900,-84.228900,Elementary,Prekindergarten,5th Grade,425,425,205,0,425,337,†,24,64,229,196,0,102,23,278,19,0,3,425,13.36
DUNCAN CREEK ELEMENTARY,Georgia,Duncan Creek Elementary,Gwinnett County,30548,1-Regular school,2-No,34.075800,-83.871600,Elementary,Prekindergarten,5th Grade,1569,567,159,123,690,1334,†,14,221,823,746,4,314,241,380,547,2,81,1569,15.57
DUNLEITH ELEMENTARY SCHOOL,Georgia,Dunleith Elementary School,Cobb County,30008,1-Regular school,2-No,33.917700,-84.559000,Elementary,Prekindergarten,5th Grade,556,446,192,47,493,451,†,0,105,298,258,0,4,219,285,27,0,21,556,10.20
DUNWOODY ELEMENTARY SCHOOL,Georgia,Dunwoody Elementary School,DeKalb County,30338,1-Regular school,2-No,33.941600,-84.308300,Elementary,Prekindergarten,5th Grade,774,142,53,23,165,621,†,36,117,408,366,3,241,76,155,250,1,48,774,13.95
DUNWOODY HIGH SCHOOL,Georgia,Dunwoody High School,DeKalb County,30338,1-Regular school,2-No,33.945500,-84.315300,High,9th Grade,12th Grade,1974,664,186,74,738,†,1974,†,†,1015,959,2,123,722,297,770,1,59,1974,16.45
DUNWOODY SPRINGS ELEMENTARY SCHOOL,Georgia,Dunwoody Springs Elementary School,Fulton County,30350,1-Regular school,2-No,33.976800,-84.342900,Elementary,Prekindergarten,5th Grade,548,357,135,32,389,421,†,53,74,269,279,0,9,131,301,61,2,44,548,12.43
DURHAM MIDDLE SCHOOL,Georgia,Durham Middle School,Cobb County,30101,1-Regular school,2-No,34.026400,-84.700100,Middle,6th Grade,8th Grade,1020,194,38,46,240,1020,†,†,†,541,479,1,49,117,153,640,2,58,1020,17.59
DUTCHTOWN ELEMENTARY SCHOOL,Georgia,Dutchtown Elementary School,Henry County,30228,1-Regular school,2-No,33.467048,-84.252039,Elementary,Prekindergarten,5th Grade,928,505,237,86,591,765,†,19,144,461,467,2,74,105,675,33,0,39,928,16.75
DUTCHTOWN HIGH,Georgia,Dutchtown High,Henry County,30228,1-Regular school,2-No,33.470900,-84.253100,High,9th Grade,12th Grade,1833,891,396,152,1043,†,1833,†,†,941,892,3,124,156,1419,48,3,80,1833,18.08
DUTCHTOWN MIDDLE SCHOOL,Georgia,Dutchtown Middle School,Henry County,30228,1-Regular school,2-No,33.470100,-84.247000,Middle,6th Grade,8th Grade,1119,650,335,96,746,1119,†,†,†,566,553,0,71,120,838,43,1,46,1119,21.31
DYER ELEMENTARY SCHOOL,Georgia,Dyer Elementary School,Gwinnett County,30019,1-Regular school,2-No,33.996800,-83.937300,Elementary,Prekindergarten,5th Grade,963,475,158,103,578,791,†,44,128,483,480,3,110,230,354,208,0,58,963,13.47
E. C. WEST ELEMENTARY SCHOOL,Georgia,E. C. West Elementary School,Fulton County,30213,1-Regular school,2-No,33.572600,-84.619900,Elementary,Prekindergarten,5th Grade,661,661,213,0,661,513,†,47,101,311,350,2,1,56,575,7,0,20,661,14.12
E. RIVERS ELEMENTARY SCHOOL,Georgia,E. Rivers Elementary School,Fulton County,30305,1-Regular school,2-No,33.819500,-84.390000,Elementary,Prekindergarten,5th Grade,706,248,93,35,283,554,†,49,103,367,339,2,31,146,237,249,1,40,706,13.74
E. T. BOOTH MIDDLE SCHOOL,Georgia,E. T. Booth Middle School,Cherokee County,30189,1-Regular school,2-No,34.118300,-84.561500,Middle,6th Grade,8th Grade,1638,559,329,124,683,1638,†,†,†,809,829,1,66,406,203,861,2,99,1638,15.11
EAGLE RIDGE ACADEMY,Georgia,Eagle Ridge Academy,Muscogee County,31909,1-Regular school,2-No,32.557834,-84.907125,Elementary,Prekindergarten,5th Grade,674,316,111,79,395,470,†,93,111,347,327,3,34,110,213,251,2,61,674,13.90
EAGLE SPRINGS ELEMENTARY,Georgia,Eagle Springs Elementary,Houston County,31008,1-Regular school,2-No,32.630300,-83.710200,Elementary,Prekindergarten,5th Grade,689,423,182,92,515,560,†,44,85,364,325,1,30,80,315,216,0,47,689,13.92
EAGLE'S LANDING HIGH SCHOOL,Georgia,Eagle's Landing High School,Henry County,30253,1-Regular school,2-No,33.490600,-84.208800,High,9th Grade,12th Grade,1657,931,469,154,1085,†,1657,†,†,849,808,5,59,194,1239,75,3,82,1657,22.48
EAGLE'S LANDING MIDDLE SCHOOL,Georgia,Eagle's Landing Middle School,Henry County,30253,1-Regular school,2-No,33.488200,-84.208800,Middle,6th Grade,8th Grade,1064,688,350,100,788,1064,†,†,†,521,543,7,30,150,777,49,1,50,1064,18.57
EARLY COUNTY ELEMENTARY SCHOOL,Georgia,Early County Elementary School,Early County,39823,1-Regular school,2-No,31.373092,-84.960455,Elementary,Prekindergarten,5th Grade,672,672,384,0,672,509,†,63,100,356,316,0,3,12,543,97,0,17,672,9.81
EARLY COUNTY HIGH SCHOOL,Georgia,Early County High School,Early County,39823,1-Regular school,2-No,31.374400,-84.941500,High,9th Grade,12th Grade,515,401,182,0,401,†,515,†,†,271,244,1,5,8,405,76,0,20,515,10.66
EARLY COUNTY MIDDLE SCHOOL,Georgia,Early County Middle School,Early County,39823,1-Regular school,2-No,31.376000,-84.941100,Middle,6th Grade,8th Grade,355,355,229,0,355,355,†,†,†,174,181,0,2,5,277,60,0,11,355,9.27
EAST CENTRAL ELEMENTARY SCHOOL,Georgia,East Central Elementary School,Floyd County,30161,1-Regular school,2-No,34.233600,-85.160700,Elementary,Prekindergarten,6th Grade,510,393,175,21,414,431,†,8,71,252,258,1,9,65,153,246,0,36,510,12.85
EAST CLAYTON ELEMENTARY SCHOOL,Georgia,East Clayton Elementary School,Clayton County,30294,1-Regular school,2-No,33.616364,-84.269419,Elementary,Prekindergarten,5th Grade,637,585,254,0,585,514,†,25,98,319,318,0,10,104,493,5,0,25,637,15.54
EAST COBB MIDDLE SCHOOL,Georgia,East Cobb Middle School,Cobb County,30067,1-Regular school,2-No,33.930757,-84.458605,Middle,6th Grade,8th Grade,1345,776,221,121,897,1345,†,†,†,676,669,5,46,426,533,273,0,62,1345,16.19
EAST COLUMBUS MAGNET ACADEMY,Georgia,East Columbus Magnet Academy,Muscogee County,31907,1-Regular school,2-No,32.465500,-84.884800,Middle,6th Grade,8th Grade,413,406,186,0,406,413,†,†,†,197,216,0,1,20,365,7,0,20,413,15.07
EAST COWETA HIGH SCHOOL,Georgia,East Coweta High School,Coweta County,30277,1-Regular school,2-No,33.346900,-84.658000,High,9th Grade,12th Grade,3108,1103,509,157,1260,†,3108,†,†,1584,1524,8,125,434,898,1483,0,160,3108,17.88
EAST COWETA MIDDLE SCHOOL,Georgia,East Coweta Middle School,Coweta County,30276,1-Regular school,2-No,33.304300,-84.598700,Middle,6th Grade,8th Grade,798,308,167,39,347,798,†,†,†,422,376,2,6,71,140,539,1,39,798,16.19
EAST DEKALB SPECIAL EDUCATION CENTER,Georgia,East DeKalb Special Education Center,DeKalb County,30083,2-Special education school,2-No,33.798530,-84.197837,Other,Prekindergarten,12th Grade,165,91,3,5,96,4,34,126,1,125,40,0,9,21,89,38,0,8,165,22.00
EAST FANNIN ELEMENTARY SCHOOL,Georgia,East Fannin Elementary School,Fannin County,30560,1-Regular school,2-No,34.881400,-84.247400,Elementary,Prekindergarten,5th Grade,469,309,119,40,349,356,†,49,64,237,232,0,0,14,1,444,0,10,469,14.48
EAST FORSYTH HIGH SCHOOL,GEORGIA,East Forsyth High School,Forsyth County,30506,1-Regular school,2-No,34.263098,-84.000501,High,9th Grade,12th Grade,1590,504,135,92,596,†,1590,†,†,853,737,4,22,366,34,1110,2,52,1590,16.81
EAST HALL HIGH SCHOOL,Georgia,East Hall High School,Hall County,30507,1-Regular school,2-No,34.334100,-83.741600,High,9th Grade,12th Grade,1291,838,323,129,967,†,1291,†,†,676,615,2,3,827,95,313,4,47,1291,15.54
EAST HALL MIDDLE SCHOOL,Georgia,East Hall Middle School,Hall County,30507,1-Regular school,2-No,34.307800,-83.741800,Middle,6th Grade,8th Grade,833,609,239,98,707,833,†,†,†,459,374,1,1,531,47,227,1,25,833,11.46
EAST JACKSON COMPREHENSIVE HIGH SCHOOL,Georgia,East Jackson Comprehensive High School,Jackson County,30529,1-Regular school,2-No,34.143100,-83.463300,High,8th Grade,12th Grade,1353,773,314,108,881,293,1060,†,†,726,627,0,15,298,101,878,0,61,1353,15.13
EAST JACKSON ELEMENTARY SCHOOL,Georgia,East Jackson Elementary School,Jackson County,30529,1-Regular school,2-No,34.145900,-83.467600,Elementary,Prekindergarten,5th Grade,658,368,125,58,426,491,†,60,107,358,300,4,5,88,35,471,0,55,658,11.96
EAST JACKSON MIDDLE SCHOOL,Georgia,East Jackson Middle School,Jackson County,30529,1-Regular school,2-No,34.148900,-83.471700,Middle,6th Grade,7th Grade,547,356,153,39,395,547,†,†,†,276,271,2,4,98,37,380,0,26,547,13.44
EAST LAKE ELEMENTARY,Georgia,East Lake Elementary,Henry County,30252,1-Regular school,2-No,33.508900,-84.132500,Elementary,Prekindergarten,5th Grade,695,287,134,47,334,592,†,7,96,357,338,1,43,66,345,182,0,58,695,14.60
EAST LAURENS ELEMENTARY SCHOOL,Georgia,East Laurens Elementary School,Laurens County,31027,1-Regular school,2-No,32.562800,-82.817700,Elementary,3rd Grade,5th Grade,469,454,211,0,454,469,†,†,†,233,236,1,0,39,191,225,0,13,469,12.18
EAST LAURENS HIGH SCHOOL,Georgia,East Laurens High School,Laurens County,31027,1-Regular school,2-No,32.566916,-82.810311,High,9th Grade,12th Grade,636,420,188,0,420,†,636,†,†,307,329,2,3,39,263,309,1,19,636,12.85
EAST LAURENS MIDDLE SCHOOL,Georgia,East Laurens Middle School,Laurens County,31027,1-Regular school,2-No,32.562319,-82.819527,Middle,6th Grade,8th Grade,542,477,218,0,477,542,†,†,†,267,275,0,1,43,218,261,0,19,542,13.03
EAST LAURENS PRIMARY SCHOOL,Georgia,East Laurens Primary School,Laurens County,31027,1-Regular school,2-No,32.565900,-82.818100,Elementary,Prekindergarten,2nd Grade,636,606,231,0,606,345,†,131,160,337,299,0,3,55,246,300,0,32,636,15.14
EAST NEWTON ELEMENTARY SCHOOL,Georgia,East Newton Elementary School,Newton County,30014,1-Regular school,2-No,33.544500,-83.795300,Elementary,Prekindergarten,5th Grade,578,331,136,46,377,445,†,54,79,307,271,2,8,59,236,245,0,28,578,14.94
EAST PAULDING HIGH SCHOOL,Georgia,East Paulding High School,Paulding County,30157,1-Regular school,2-No,33.939100,-84.746600,High,9th Grade,12th Grade,1904,793,248,177,970,†,1904,†,†,971,933,3,23,283,646,839,6,104,1904,16.61
EAST PAULDING MIDDLE SCHOOL,Georgia,East Paulding Middle School,Paulding County,30157,1-Regular school,2-No,33.933300,-84.748300,Middle,6th Grade,8th Grade,869,362,119,91,453,869,†,†,†,455,414,2,11,136,219,460,0,41,869,14.73
EAST SIDE ELEMENTARY SCHOOL,Georgia,East Side Elementary School,Cobb County,30062,1-Regular school,2-No,33.976000,-84.439200,Elementary,Prekindergarten,5th Grade,1066,91,16,16,107,930,†,7,129,548,518,2,298,73,41,607,0,45,1066,14.39
EASTBROOK MIDDLE SCHOOL,Georgia,Eastbrook Middle School,Whitfield County,30721,1-Regular school,2-No,34.745817,-84.931845,Middle,6th Grade,8th Grade,630,538,148,59,597,630,†,†,†,328,302,2,2,463,6,135,0,22,630,13.88
EASTMAN YOUTH DEVELOPMENT CAMPUS,Georgia,Eastman Youth Development Campus,Dodge County,31023,4-Alternative Education School,2-No,32.179600,-83.152200,High,5th Grade,12th Grade,34,31,31,0,31,0,34,†,†,34,0,0,0,3,27,4,0,0,34,4.86
EASTSIDE ELEMENTARY SCHOOL,Georgia,Eastside Elementary School,Grady County,39828,1-Regular school,2-No,30.886500,-84.184400,Elementary,Prekindergarten,5th Grade,647,599,225,0,599,456,†,87,104,344,303,1,3,176,255,186,0,26,647,13.74
EASTSIDE ELEMENTARY SCHOOL,Georgia,Eastside Elementary School,Coffee County,31533,1-Regular school,2-No,31.514600,-82.840100,Elementary,Prekindergarten,5th Grade,591,591,277,0,591,441,†,61,89,292,299,2,6,77,300,172,2,32,591,14.92
EASTSIDE ELEMENTARY SCHOOL,Georgia,Eastside Elementary School,Whitfield County,30721,1-Regular school,2-No,34.758500,-84.928200,Elementary,Prekindergarten,5th Grade,588,501,173,55,556,462,†,37,89,302,286,0,2,479,3,100,0,4,588,12.17
EASTSIDE ELEMENTARY SCHOOL,Georgia,Eastside Elementary School,Polk County,30153,1-Regular school,2-No,34.016700,-85.067600,Elementary,Prekindergarten,5th Grade,771,578,197,0,578,580,†,68,123,380,391,0,1,47,62,598,0,63,771,15.00
EASTSIDE ELEMENTARY SCHOOL,Georgia,Eastside Elementary School,Coweta County,30276,1-Regular school,2-No,33.263900,-84.579500,Elementary,Prekindergarten,5th Grade,582,197,86,46,243,453,†,48,81,300,282,0,4,37,50,470,1,20,582,14.55
EASTSIDE ELEMENTARY SCHOOL,Georgia,Eastside Elementary School,Douglas County,30134,1-Regular school,2-No,33.754800,-84.727600,Elementary,Prekindergarten,5th Grade,450,366,195,48,414,391,†,0,59,228,222,2,3,121,261,24,6,33,450,14.52
EASTSIDE HIGH SCHOOL,Georgia,Eastside High School,Newton County,30014,1-Regular school,2-No,33.587489,-83.795074,High,9th Grade,12th Grade,1615,790,358,135,925,†,1615,†,†,848,767,2,20,154,714,655,0,70,1615,19.25
EASTVALLEY ELEMENTARY SCHOOL,Georgia,Eastvalley Elementary School,Cobb County,30068,1-Regular school,2-No,33.942000,-84.477700,Elementary,Prekindergarten,5th Grade,693,237,53,44,281,549,†,17,127,330,363,1,75,181,117,269,0,50,693,12.93
EBENEZER ELEMENTARY SCHOOL,Georgia,Ebenezer Elementary School,Effingham County,31326,1-Regular school,2-No,32.347710,-81.225360,Elementary,Prekindergarten,5th Grade,976,432,150,64,496,732,†,97,147,536,440,1,7,111,135,665,0,57,976,13.63
EBENEZER MIDDLE SCHOOL,Georgia,Ebenezer Middle School,Effingham County,31326,1-Regular school,2-No,32.346818,-81.228003,Middle,6th Grade,8th Grade,992,348,132,76,424,992,†,†,†,505,487,0,15,122,160,619,1,75,992,14.31
ECHOLS COUNTY ELEMENTARY/MIDDLE SCHOOL,Georgia,Echols County Elementary/Middle School,Echols County,31648,1-Regular school,2-No,30.699578,-83.024662,Elementary,Prekindergarten,8th Grade,649,572,241,0,572,540,†,48,61,333,316,0,0,290,18,331,0,10,649,15.56
ECHOLS COUNTY HIGH SCHOOL,Georgia,Echols County High School,Echols County,31648,1-Regular school,2-No,30.699800,-83.024200,High,9th Grade,12th Grade,246,177,103,0,177,†,246,†,†,132,114,3,1,124,7,105,0,6,246,12.81
EDDIE WHITE MIDDLE SCHOOL,Georgia,Eddie White Middle School,Clayton County,30228,1-Regular school,2-No,33.430175,-84.360136,Middle,6th Grade,8th Grade,1359,1117,491,0,1117,1359,†,†,†,675,684,3,13,212,1061,20,0,50,1359,16.78
EDDY MIDDLE SCHOOL,Georgia,Eddy Middle School,Muscogee County,31903,1-Regular school,2-No,32.414600,-84.950400,Middle,6th Grade,8th Grade,437,437,239,0,437,437,†,†,†,221,216,2,3,75,317,11,1,28,437,15.89
EDMONDS ELEMENTARY SCHOOL,Georgia,Edmonds Elementary School,Clayton County,30297,1-Regular school,2-No,33.633000,-84.349600,Elementary,Prekindergarten,5th Grade,445,445,110,0,445,358,†,23,64,216,229,0,4,174,251,5,0,11,445,13.09
EDWARD L. BOUIE- SR. ELEMENTARY SCHOOL,Georgia,Edward L. Bouie- Sr. Elementary School,DeKalb County,30038,1-Regular school,2-No,33.689300,-84.183500,Elementary,Prekindergarten,5th Grade,600,451,136,0,451,455,†,66,79,278,322,3,1,21,562,0,0,13,600,17.65
EDWARDS MIDDLE SCHOOL,Georgia,Edwards Middle School,Rockdale County,30094,1-Regular school,2-No,33.623500,-84.036700,Middle,6th Grade,8th Grade,935,694,308,106,800,935,†,†,†,476,459,0,13,302,539,46,2,33,935,13.69
EFFINGHAM COUNTY HIGH SCHOOL,Georgia,Effingham County High School,Effingham County,31329,1-Regular school,2-No,32.347200,-81.351200,High,9th Grade,12th Grade,2164,907,332,136,1043,†,2164,†,†,1123,1041,3,16,244,491,1296,2,112,2164,18.03
EFFINGHAM COUNTY MIDDLE SCHOOL,Georgia,Effingham County Middle School,Effingham County,31312,1-Regular school,2-No,32.354000,-81.343900,Middle,6th Grade,8th Grade,1063,555,241,84,639,1063,†,†,†,554,509,2,5,110,230,652,0,64,1063,13.03
EIGHTH STREET MIDDLE SCHOOL,Georgia,Eighth Street Middle School,Tift County,31794,1-Regular school,2-No,31.462200,-83.520700,Middle,6th Grade,8th Grade,925,834,454,0,834,925,†,†,†,465,460,0,13,167,297,415,0,33,925,13.95
ELBERT COUNTY ELEMENTARY SCHOOL,Georgia,Elbert County Elementary School,Elbert County,30635,1-Regular school,2-No,34.109423,-82.895811,Elementary,3rd Grade,5th Grade,655,501,247,0,501,655,†,†,†,348,307,0,8,60,220,329,2,36,655,14.24
