#ASSMT_CD,LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,ACDMC_LVL,SUBGROUP_NAME,TEST_CMPNT_TYP_NM,NUM_TESTED_CNT,BEGIN_CNT,DEVELOPING_CNT,PROFICIENT_CNT,DISTINGUISHED_CNT,BEGIN_PCT,DEVELOPING_PCT,PROFICIENT_PCT,DISTINGUISHED_PCT,Location ZIP [Public School] 2023-24,source_file
EOC,2023-24,761,Atlanta Public Schools,0515,Charles Drew Charter JA/SR Academy,ALL GRADES,Non-Migrant,US History,75,21,26,24,TFS,28.0,34.7,32.0,5.3,30317,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,633,Cobb County,0808,Cobb Horizon High School,ALL GRADES,Military Connected,US History,TFS,TFS,TFS,TFS,TFS,50.0,37.5,12.5,0.0,30339,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,2054,Columbia High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30032,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,636,Columbia County,2050,Columbia Middle School,ALL GRADES,Military Connected,Algebra: Concepts and Connections,17,TFS,TFS,TFS,TFS,0.0,5.9,41.2,52.9,30034,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1410,Coretta Scott King Young Women's Leadership Academy,ALL GRADES,Homeless,US History,TFS,TFS,TFS,TFS,TFS,0.0,0.0,0.0,100.0,30318,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0173,Crawford Long Middle School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,17,TFS,11,TFS,TFS,17.6,64.7,11.8,5.9,30354,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,4054,Cross Keys High School,ALL GRADES,Military Connected,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30319,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1409,D. M. Therrell High School,ALL GRADES,Homeless,US History,TFS,TFS,TFS,TFS,TFS,85.7,14.3,0.0,0.0,30311,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1563,David T Howard Middle School,ALL GRADES,Military Connected,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,0.0,100.0,30312,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,773,City Schools of Decatur,3050,Decatur High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30030,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,1050,DeKalb Elementary School of the Arts,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,28,TFS,TFS,11,10,3.6,21.4,39.3,35.7,30002,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,0705,DeKalb PATH Academy Charter School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,18,TFS,TFS,TFS,TFS,22.2,38.9,22.2,16.7,30319,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,0410,DeKalb School of the Arts,ALL GRADES,Non-Migrant,US History,54,TFS,TFS,32,12,1.9,16.7,59.3,22.2,30002,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,7830642,State Charter Schools II- Destinations Career Academy of Georgia (Virtual),0642,Destinations Career Academy of Georgia (Virtual),ALL GRADES,Homeless,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30339,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,2055,Druid Hills High School,ALL GRADES,Military Connected,Biology,TFS,TFS,TFS,TFS,TFS,0.0,0.0,0.0,100.0,30307,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,0897,Druid Hills Middle School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,83,TFS,27,42,10,4.8,32.5,50.6,12.0,30033,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,4058,Frederick Douglass High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,33.3,66.7,0.0,0.0,30318,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,1325,Fulton Academy of Virtual Excellence,ALL GRADES,Military Connected,US History,TFS,TFS,TFS,TFS,TFS,100.0,0.0,0.0,0.0,30339,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,7830310,State Charter Schools II- Fulton Leadership Academy,0310,Fulton Leadership Academy,ALL GRADES,Non-Migrant,US History,18,TFS,TFS,TFS,TFS,38.9,33.3,27.8,0.0,30344,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,0314,GLOBE Academy Charter School I,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,48,TFS,17,17,12,4.2,35.4,35.4,25.0,30345,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0403,Hank Aaron New Beginnings Academy,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30315,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0100,Herman J. Russell West End Academy,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,12.5,25.0,50.0,12.5,30310,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0207,Hillside Conant School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,50.0,0.0,50.0,0.0,30306,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0282,Jean Childs Young Middle School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,41,10,17,11,TFS,24.4,41.5,26.8,7.3,30311,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1418,John Lewis Invictus Academy,ALL GRADES,Homeless,Biology,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30318,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0288,Judson Price Middle School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,21,TFS,16,TFS,TFS,0.0,76.2,23.8,0.0,30315,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0212,Kipp Atlanta Collegiate Charter School,ALL GRADES,Military Connected,American Literature and Composition,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30314,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1422,KIPP Soul Academy,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,33.3,66.7,30331,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,0204,KIPP South Fulton Academy School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,31,TFS,TFS,TFS,21,0.0,3.2,29.0,67.7,30344,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,3060,Lakeside High School,ALL GRADES,Foster Care,Biology,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30345,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,0116,Main Street Charter Academy,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30337,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0373,Martin L. King Jr. Middle School,ALL GRADES,Military Connected,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30312,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0186,Maynard Jackson High School,ALL GRADES,Foster Care,Biology,TFS,TFS,TFS,TFS,TFS,33.3,33.3,33.3,0.0,30316,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,3070,McNair High School,ALL GRADES,Military Connected,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,100.0,0.0,0.0,0.0,30316,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,0189,McNair Middle School,ALL GRADES,Homeless,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,0.0,100.0,30032,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1414,Michael R. Hollis Innovation Academy,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,44.4,44.4,11.1,30314,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,4560,Midtown High School,ALL GRADES,Military Connected,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30309,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,625,Savannah-Chatham County,4054,Ellis Elementary School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,16.7,83.3,30331,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,0215,Museum School Avondale Estates,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,38,TFS,15,12,TFS,7.9,39.5,31.6,21.1,30002,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0192,North Atlanta High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30327,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,0803,Paul D. West Middle School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,38,TFS,11,21,TFS,10.5,28.9,55.3,5.3,30344,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0180,Ralph Bunche Middle School,ALL GRADES,Non-Migrant,Biology,34,21,TFS,TFS,TFS,61.8,26.5,11.8,0.0,30331,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,0286,Ridgeview Charter School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,164,TFS,14,67,81,1.2,8.5,40.9,49.4,30342,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,7830647,State Charter Schools II- RISE Preparatory Charter School,0647,RISE Preparatory Charter School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,15,TFS,TFS,TFS,TFS,13.3,53.3,33.3,0.0,30344,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,0505,Sandtown Middle School,ALL GRADES,Military Connected,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30331,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1412,South Atlanta High School,ALL GRADES,Military Connected,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30354,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,5067,Southwest DeKalb High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,100.0,0.0,0.0,0.0,30034,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0188,Sylvan Hills Middle School,ALL GRADES,Homeless,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,50.0,50.0,30310,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,4069,Towers High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,100.0,0.0,0.0,0.0,30032,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,0691,Tri-Cities High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,100.0,0.0,0.0,0.0,30344,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,0707,UHS of Laurel Heights,ALL GRADES,Non-Migrant,US History,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30306,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,644,DeKalb County,0309,Wadsworth Magnet School for High Achievers,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,24,TFS,TFS,TFS,18,0.0,0.0,25.0,75.0,30032,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1208,Wesley International Academy Charter,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,18,TFS,TFS,10,TFS,0.0,27.8,55.6,16.7,30312,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,660,Fulton County,5069,Westlake High School,ALL GRADES,Military Connected,US History,TFS,TFS,TFS,TFS,TFS,0.0,0.0,66.7,33.3,30331,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0314,Westside Atlanta Charter School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,12,TFS,TFS,TFS,TFS,0.0,0.0,33.3,66.7,30318,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,3067,Willis A. Sutton Middle School,ALL GRADES,Military Connected,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,0.0,100.0,30305,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,675,Henry County,0308,Woodland Middle School,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,47,TFS,13,20,14,0.0,27.7,42.6,29.8,30344,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
